word,dictionary definition
   that,"used to identify a specific person or thing observed or heard by the speaker. referring to a specific thing previously mentioned, known, or understood. used in singling out someone or something and ascribing a distinctive feature to them. expressing strong agreement with a description just given. used instead of ‘which’, ‘who’, ‘whom’, or ‘when’ to introduce a defining clause, especially one essential to identification. used to identify a specific person or thing observed or heard by the speaker. referring to a specific thing previously mentioned, known, or understood. used in singling out someone or something and ascribing a distinctive feature to them. referring to a specific person or thing assumed as understood or familiar to the person being addressed. to such a degree; so. introducing a subordinate clause expressing a statement or hypothesis. expressing a wish or regret"
   for,"in support of or in favour of (a person or policy). affecting, with regard to, or in respect of. on behalf of or to the benefit of. having (the thing mentioned) as a purpose or function. having (the thing mentioned) as a reason or cause. having (the place mentioned) as a destination. representing (the thing mentioned). in place of or in exchange for. in relation to the expected norm of. indicating the length of (a period of time). indicating the extent of (a distance). indicating an occasion in a series. because; since"
   you,used to refer to the person or people that the speaker is addressing. used to refer to any person in general
   he,"used to refer to a man, boy, or male animal previously mentioned or easily identified. a male; a man. (in children's games) the player who has to catch the others; ‘it’.. the chemical element helium.. high explosive.. His Eminence.. His or Her Excellency."
   with,accompanied by (another person or thing). having or possessing (something). indicating the instrument used to perform an action. in opposition to. indicating the manner or attitude in which a person does something. indicating responsibility. in relation to. employed by. in the same direction as. indicating separation or removal from something
   on,"Ontario (in official postal use).. Old Norse.. physically in contact with and supported by (a surface). forming a distinctive or marked part of the surface of. having (the thing mentioned) as a topic; about. as a member of (a committee, jury, or other body). having (the thing mentioned) as a target, aim, or focus. (often followed by a noun without a determiner) having (the thing mentioned) as a medium for transmitting or storing information. in the course of (a journey). indicating the day or part of a day during which an event takes place. engaged in. regularly taking (a drug or medicine). paid for by. added to. physically in contact with and supported by a surface. indicating continuation of a movement or action. (of an event) taking place or being presented. (of an electrical appliance or power supply) functioning. (of a performer) on stage.. the leg side."
   do,"perform (an action, the precise nature of which is often unspecified). achieve or complete.. act or behave in a specified way. be suitable or acceptable. beat up or kill. prosecute or convict. used before a verb (except be, can, may, ought, shall, will) in questions and negative statements. used to refer back to a verb already mentioned. used to give emphasis to a positive verb. used with inversion of a subject and verb when an adverbial phrase begins a clause for emphasis. a party or other social event. excrement. a swindle or hoax.. "
   say,"utter words so as to convey information, an opinion, a feeling or intention, or an instruction. assume something in order to work out what its consequences would be; make a hypothesis. used to express surprise or to draw attention to a remark or question. an opportunity for stating one's opinion or feelings"
   this,used to identify a specific person or thing close at hand or being indicated or experienced. referring to a specific thing just mentioned. used to identify a specific person or thing close at hand or being indicated or experienced. referring to a specific thing just mentioned. used with periods of time related to the present. used in speech to draw attention to someone or something. to the degree or extent indicated
   they,used to refer to two or more people or things previously mentioned or easily identified. used to refer to a person of unspecified gender
   at,"expressing location or arrival in a particular place or position. expressing the time when an event takes place. denoting a particular point or level on a scale. expressing a particular state or condition. expressing the object of a look, thought, action, or plan. expressing the means by which something is done. a monetary unit of Laos, equal to one hundredth of a kip.. the chemical element astatine."
   but,"used to introduce a phrase or clause contrasting with what has already been mentioned. used to indicate the impossibility of anything other than what is being stated. used to introduce a response expressing a feeling such as surprise or anger. used after an expression of apology for what one is about to say. without it being the case that. except; apart from; other than. no more than; only. (used at the end of a sentence) though; however. an argument against something; an objection. an outer room, especially in a two-roomed cottage."
   we,"used by a speaker to refer to himself or herself and one or more other people considered together. used in formal contexts for or by a royal person, or by a writer or editor, to refer to himself or herself. used condescendingly to refer to the person being addressed"
   his,belonging to or associated with a male person or animal previously mentioned or easily identified. used in titles. used to refer to a thing or things belonging to or associated with a male person or animal previously mentioned
   from,"indicating the point in space at which a journey, motion, or action starts. indicating the point in time at which a particular process, event, or activity starts. indicating the source or provenance of someone or something. indicating the starting point of a specified range on a scale. indicating the point at which an observer is placed. indicating the raw material out of which something is manufactured. indicating separation or removal. indicating prevention. indicating a cause. indicating a source of knowledge or the basis for one's judgement. indicating a distinction"
   that,"used to identify a specific person or thing observed or heard by the speaker. referring to a specific thing previously mentioned, known, or understood. used in singling out someone or something and ascribing a distinctive feature to them. expressing strong agreement with a description just given. used instead of ‘which’, ‘who’, ‘whom’, or ‘when’ to introduce a defining clause, especially one essential to identification. used to identify a specific person or thing observed or heard by the speaker. referring to a specific thing previously mentioned, known, or understood. used in singling out someone or something and ascribing a distinctive feature to them. referring to a specific person or thing assumed as understood or familiar to the person being addressed. to such a degree; so. introducing a subordinate clause expressing a statement or hypothesis. expressing a wish or regret"
   not,"used with an auxiliary verb or ‘be’ to form the negative. used as a short substitute for a negative clause. used to express the negative of other words. used in understatements to suggest that the opposite of a following word or phrase is true. a Boolean operator with only one variable that has the value one when the variable is zero and vice versa.. (of paper) not hot-pressed, and having a slightly textured surface."
   n't,also not
   by,identifying the agent performing an action.. indicating the means of achieving something. indicating the amount or size of a margin. indicating a deadline or the end of a particular time period. indicating location of a physical object beside a place or object. indicating the period in which something happens. concerning; according to. used in mild oaths. so as to go past. 
   she,"used to refer to a woman, girl, or female animal previously mentioned or easily identified. a female; a woman"
   or,"used to link alternatives. introducing a synonym or explanation of a preceding word or phrase. otherwise (used to introduce the consequences of something not being done or not being the case). introducing an afterthought, usually in the form of a question. either. a logical operation which gives the value one if at least one operand has the value one, and otherwise gives a value of zero.. gold or yellow, as a heraldic tincture. operational research.. Oregon (in official postal use).. other ranks (as opposed to commissioned officers)."
   as,used in comparisons to refer to the extent or degree of something. used to indicate that something happens during the time when something else is taking place. used to indicate by comparison the way that something happens or is done. because; since. even though. used to refer to the function or character that someone or something has. during the time of being (the thing specified). an ancient Roman copper coin.. the chemical element arsenic.. Anglo-Saxon.. Assam.
   what,asking for information specifying something. the thing or things that (used in specifying something). (in exclamations) emphasizing something surprising or remarkable. asking for information specifying something. (referring to the whole of an amount) whatever. (in exclamations) how great or remarkable. to what extent?. used to indicate an estimate or approximation. used for emphasis or to invite agreement
   go,"move from one place to another; travel. leave; depart. intend or be likely or intended to be or do something (used to express a future tense). pass into or be in a specified state, especially an undesirable one. proceed or turn out in a specified way. be harmonious, complementary, or matching. (of a machine or device) function. contribute to or be put into (a whole). (of an article) be regularly kept or put in a particular place. (of a song or account) have a specified content or wording. use a toilet; urinate or defecate. an attempt or trial at something. a person's turn to use or do something. spirit, animation, or energy. a state of affairs. an enterprise which has been approved. functioning properly. a Japanese board game of territorial possession and capture."
   their,belonging to or associated with the people or things previously mentioned or easily identified. used in titles
   can,be able to. be permitted to. used to request someone to do something. a cylindrical metal container. prison. the toilet. headphones.. a woman's breasts.. preserve (food) in a can. dismiss from a job
   who,what or which person or people. used to introduce a clause giving further information about a person or people previously mentioned. World Health Organization.
   get,"come to have (something); receive. succeed in attaining, achieving, or experiencing; obtain. reach or cause to reach a specified state or condition. come, go, or make progress eventually or with some difficulty. catch or apprehend (someone). understand (an argument or the person making it). acquire (knowledge) by study; learn. an animal's offspring.. a person whom the speaker dislikes or despises."
   if,(introducing a conditional clause) on the condition or supposition that; in the event that. despite the possibility that; no matter whether. (often used in indirect questions) whether. expressing a polite request. expressing an opinion. expressing surprise or regret. (with implied reservation) and perhaps not. a condition or supposition. intermediate frequency.
   would,"(expressing the conditional mood) indicating the consequence of an imagined event or situation. expressing a desire or inclination. expressing a polite request. expressing a conjecture, opinion, or hope. used to make a comment about behaviour that is typical. expressing a wish or regret"
   her,used as the object of a verb or preposition to refer to a female person or animal previously mentioned or easily identified. herself. belonging to or associated with a female person or animal previously mentioned or easily identified. used in titles
   all,used to refer to the whole quantity or extent of a particular group or thing. completely. (in games) used after a number to indicate an equal score. Albanian lek(s).
   my,belonging to or associated with the speaker. used in various expressions of surprise. motor yacht
   make,"form (something) by putting parts together or combining substances; create. cause (something) to exist or come about; bring about. compel (someone) to do something. constitute; amount to. gain or earn (money or profit). manage to arrive at (a place) within a specified time or catch (a train or other form of transport). prepare to go in a particular direction. induce (someone) to have sexual intercourse with one. (in bridge, whist, etc.) win (a trick).. (of the tide) begin to flow or ebb.. the manufacturer or trade name of a product. the making of electrical contact."
   about,on the subject of; concerning. used to indicate movement within a particular area. used to express location in a particular place. used to indicate movement within an area. used to express location in a particular place. (used with a number or quantity) approximately
   know,"be aware of through observation, inquiry, or information. have developed a relationship with (someone) through meeting and spending time with them; be familiar or friendly with. have sexual intercourse with (someone)."
   will,"expressing the future tense. expressing inevitable events. expressing a request. expressing facts about ability or capacity. expressing habitual behaviour. expressing probability or expectation about something in the present. the faculty by which a person decides on and initiates action. a legal document containing instructions as to what should be done with one's money and property after one's death.. intend, desire, or wish (something) to happen. bequeath something to (someone) by the terms of one's will"
   as,used in comparisons to refer to the extent or degree of something. used to indicate that something happens during the time when something else is taking place. used to indicate by comparison the way that something happens or is done. because; since. even though. used to refer to the function or character that someone or something has. during the time of being (the thing specified). an ancient Roman copper coin.. the chemical element arsenic.. Anglo-Saxon.. Assam.
   up,"towards a higher place or position. at or to a higher level of intensity, volume, or activity. to the place where someone is. towards or in the capital or a major city. into the desired or a proper condition. into a happy mood. out of bed. displayed on a noticeboard or other publicly visible site. (of sailing) against the current or the wind. at bat. from a lower to a higher point of (something). along or further along (a street or road). at or to (a place). directed or moving towards a higher place or position. at an end. (of a road) being repaired.. (of a computer system) functioning properly. in a cheerful mood; ebullient. (of a jockey) in the saddle.. denoting a flavour of quark having a charge of +2/3. Protons and neutrons are thought to be composed of combinations of up and down quarks.. a period of good fortune. do something unexpectedly. increase (a level or amount). lift (something) up. Upper Peninsula (of the state of Michigan). Uttar Pradesh."
   one,"the lowest cardinal number; half of two; 1. the same; identical. a joke or story. an alcoholic drink. alone. referring to a person or thing previously mentioned or easily identified. a person of a specified kind. used to refer to the speaker, or any person, as representing people in general"
   time,"the indefinite continued progress of existence and events in the past, present, and future regarded as a whole. a point of time as measured in hours and minutes past midnight or noon. time as allotted, available, or used. an instance of something happening or being done; an occasion. (following a number) expressing multiplication. the rhythmic pattern of a piece of music, as expressed by a time signature. plan, schedule, or arrange when (something) should happen or be done. measure the time taken by (a process or activity, or a person doing it). (of a computer or a program) cancel an operation automatically because a predefined interval of time has passed without a certain event happening"
   there,"in, at, or to that place or position. used in attracting someone's attention or calling attention to someone or something. used to indicate the fact or existence of something. used to focus attention on something. used to comfort someone"
   year,"the time taken by the earth to make one revolution around the sun.. the period of 365 days (or 366 days in leap years) starting from the first of January, used for reckoning time in ordinary circumstances.. one's age or time of life. a very long time; ages. a set of students grouped together as being of roughly similar ages, mostly entering a school or college in the same academic year"
   so,to such a great extent. to the same extent (used in comparisons). referring back to something previously mentioned.. in the way described or demonstrated; thus. and for this reason; therefore. with the aim that; in order that. and then; as the next step. introducing a question. introducing a statement which is followed by a defensive comment. introducing a concluding statement. in the same way; correspondingly. 
   think,have a particular belief or idea. direct one's mind towards someone or something; use one's mind actively to form connected ideas. an act of thinking
   when,at what time. at or on which (referring to a time or circumstance). at or during the time that. after which; and just then (implying suddenness). in view of the fact that; considering that. although; whereas
   which,asking for information specifying one or more people or things from a definite set. used referring to something previously mentioned when introducing a clause giving further information
   them,used as the object of a verb or preposition to refer to two or more people or things previously mentioned or easily identified. themselves. those
   some,an unspecified amount or number of. used to refer to someone or something that is unknown or unspecified. (used with a number) approximately. (pronounced stressing ‘some’) a considerable amount or number of. (pronounced stressing ‘some’) at least a small amount or number of. (pronounced stressing ‘some’) expressing admiration of something notable. an unspecified number or amount of people or things. (pronounced stressing ‘some’) at least a small amount or number of people or things. to some extent; quite a lot
   me,"a medical condition of unknown cause, with fever, aching, and prolonged tiredness and depression, typically occurring after a viral infection.. used by a speaker to refer to himself or herself as the object of a verb or preposition. used in exclamations. Maine (in official postal use).. Medical Examiner.. Middle English.. (in tonic sol-fa) the third note of a major scale.. Maine.. Maître (title of a French advocate)."
   people,"human beings in general or considered collectively. the members of a particular nation, community, or ethnic group. the supporters or employees of a person in a position of power or authority. (of a group of people) inhabit (a place)"
   take,"lay hold of (something) with one's hands; reach for and hold. remove (someone or something) from a particular place. carry or bring with one; convey. accept or receive (someone or something). consume as food, drink, medicine, or drugs. make, undertake, or perform (an action or task). require or use up (a specified amount of time). (of a plant or seed) take root or begin to grow; germinate. have or require as part of the appropriate construction. a scene or sequence of sound or vision photographed or recorded continuously at one time. an amount of something gained or acquired from one source or in one session. an amount of copy set up at one time or by one compositor."
   out,"moving or appearing to move away from a particular place, especially one that is enclosed or hidden. situated far or at a particular distance from somewhere. away from home. so as to be revealed or known. at or to an end. (of a light or fire) so as to be extinguished or no longer burning. no longer involved in a situation, competition, or activity. (of a jury) considering its verdict in secrecy.. non-standard contraction of out of. not at home or at one's place of work. revealed or made public. (of a flower) in bloom; open.. no longer alight; extinguished. at an end. not possible or worth considering. in a state of unconsciousness.. mistaken; in error. (of the ball in tennis and similar games) outside the designated playing area.. no longer batting or at bat; having had one's innings or at bat ended by the fielding side. a way of escaping from a problem or dilemma. an act of putting a player out.. the political party not in office.. reveal the sexual or gender identity of (a person).. expel, reject, or dismiss. extinguish. become known; emerge"
   into,expressing movement or action with the result that someone or something becomes enclosed or surrounded by something else. expressing movement or action with the result that someone or something makes physical contact with something else. indicating a route by which someone or something may arrive at a particular destination. indicating the direction towards which someone or something is turned when confronting something else. indicating an object of attention or interest. expressing a change of state. expressing the result of an action. expressing division. (of a person) taking a lively and active interest in (something)
   just,based on or behaving according to what is morally right and fair. exactly. very recently; in the immediate past. barely; by a little. simply; only; no more than. expressing agreement
   see,"perceive with the eyes; discern visually. discern or deduce after reflection or from information; understand. experience or witness (an event or situation). meet (someone one knows) socially or by chance. escort or conduct (someone) to a specified place. ensure. (in poker or brag) equal the bet of (an opponent) and require them to reveal their cards in order to determine who has won the hand.. the place in which a cathedral church stands, identified as the seat of authority of a bishop or archbishop."
   him,used as the object of a verb or preposition to refer to a male person or animal previously mentioned or easily identified. himself. Her or His Imperial Majesty.
   your,belonging to or associated with the person or people that the speaker is addressing. belonging to or associated with any person in general. used when addressing the holder of certain titles
   come,"move or travel towards or into a place thought of as near or familiar to the speaker. occur; happen; take place. take or occupy a specified position in space, order, or priority. pass into a specified state, especially one of separation or disunion. be sold, available, or found in a specified form. have an orgasm.. when a specified time is reached or event happens. semen ejaculated at an orgasm."
   could,past of can
   now,"at the present time or moment. used, especially in conversation, to draw attention to a particular statement or point in a narrative. used in a request, instruction, or question, typically to give a slight emphasis to one's words. used at the end of an ironic question echoing a previous statement. as a consequence of the fact. fashionable or up to date"
   than,introducing the second element in a comparison. used in expressions introducing an exception or contrast. used in expressions indicating one thing happening immediately after another
   like,"having the same characteristics or qualities as; similar to. used to draw attention to the nature of an action or event. such as; for example. in the same way that; as. as though; as if. used with reference to a person or thing of the same kind as another. (of a person or thing) having similar qualities or characteristics to another person or thing. used in speech as a meaningless filler or to signify the speaker's uncertainty about an expression just used. used to convey a person's reported attitude or feelings in the form of direct speech (whether or not representing an actual quotation). in the manner of. find agreeable, enjoyable, or satisfactory. wish for; want. the things one likes or prefers"
   other,"used to refer to a person or thing that is different or distinct from one already mentioned or known about. further; additional. used euphemistically to refer to sexual intercourse. that which is distinct from, different from, or opposite to something or oneself. view or treat (a person or group of people) as intrinsically different from and alien to oneself"
   how,in what way or manner; by what means. used to ask about the condition or quality of something. used to ask about the extent or degree of something. the way in which; that. a greeting attributed to North American Indians (used in humorous imitation).
   then,at that time; at the time in question. after that; next; afterwards. in that case; therefore
   its,belonging to or associated with a thing previously mentioned or easily identified
   our,"belonging to or associated with the speaker and one or more other people previously mentioned or easily identified. used in formal contexts by a royal person or a writer or editor to refer to something belonging to or associated with himself or herself. used with a name to refer to a relative, friend, or colleague of the speaker"
   two,equivalent to the sum of one and one; one less than three; 2
   more,"a greater or additional amount or degree. forming the comparative of adjectives and adverbs, especially those of more than one syllable. to a greater extent. again. moreover. the language of the Mossi people of Burkina Faso, a member of the Gur family of languages with about 4 million speakers."
   these,plural form of this
   want,have a desire to possess or do (something); wish for. should or need to do something. lack something desirable or essential. a lack or deficiency of something. a desire for something
   way,"a method, style, or manner of doing something; an optional or alternative form of action. a road, track, or path for travelling along. parts into which something divides or is divided. a person's occupation or line of business.. forward motion or momentum of a ship or boat through water. a sloping structure down which a new ship is launched.. at or to a considerable distance or extent; far (used before an adverb or preposition for emphasis)"
   look,"direct one's gaze in a specified direction. regard in a specified way. have the appearance or give the impression of being. rely on (someone) to do or provide something. an act of directing one's gaze in order to see someone or something. the appearance of someone or something, especially as expressing a particular quality. used to call attention to what one is going to say"
   first,"coming before all others in time or order; earliest; 1st. foremost in position, rank, or importance. with a specified part or person in a leading position"
   also,in addition; too
   new,"produced, introduced, or discovered recently or now for the first time; not existing before. already existing but seen, experienced, or acquired recently or now for the first time. beginning anew and in a transformed way. newly; recently"
   because,for the reason that; since
   day,"each of the twenty-four-hour periods, reckoned from one midnight to the next, into which a week, month, or year is divided, and corresponding to a rotation of the earth on its axis. a particular period of the past; an era"
   more,"a greater or additional amount or degree. forming the comparative of adjectives and adverbs, especially those of more than one syllable. to a greater extent. again. moreover. the language of the Mossi people of Burkina Faso, a member of the Gur family of languages with about 4 million speakers."
   use,"take, hold, or deploy (something) as a means of accomplishing or achieving something; employ. take or consume (an amount) from a limited supply. describing an action or situation that was done repeatedly or existed for a period in the past. be or become familiar with (someone or something) through experience. one would like or benefit from. the action of using something or the state of being used for a purpose. the value or advantage of something. the habitual consumption of a drug. the characteristic ritual and liturgy of a Christian Church or diocese."
   no,"the chemical element nobelium. not any. used to give a negative response. not at all; to no extent. not. a negative answer or decision, especially in voting"
   man,"an adult human male. a human being of either sex; a person. a group or person in a position of authority over others, such as a corporate employer or the police. a figure or token used in playing a board game.. (of personnel) work at, run, or operate (a place or piece of equipment) or defend (a fortification). fortify the spirits or courage of. used, irrespective of the sex of the person addressed, to express surprise, admiration, delight, etc., or for emphasis"
   find,"discover or perceive by chance or unexpectedly. identify (something) as being present. reach or arrive at by a natural or normal process. a discovery of something valuable, typically something of archaeological interest"
   here,"in, at, or to this place or position. used when introducing something or someone. used when indicating a time, point, or situation that has arrived or is happening. used to attract someone's attention. indicating one's presence in a roll-call."
   thing,"an object that one need not, cannot, or does not wish to give a specific name to. an inanimate material object as distinct from a living sentient being. an action, event, thought, or utterance. what is needed or required. one's special interest or inclination. used to introduce or emphasize an important point"
   give,freely transfer the possession of (something) to (someone). cause or allow (someone or something) to have or experience (something); provide with. carry out or perform (a specified action). yield as a product or result. concede (something) as valid or deserved in respect of (someone). state or put forward (information or argument). alter in shape under pressure rather than resist or break. capacity to bend or alter in shape under pressure
   many,a large number of. the majority of people
   well,"in a good or satisfactory way. in a thorough manner. very probably; in all likelihood. in good health; free or recovered from illness. sensible; advisable. used to express a range of emotions including surprise, anger, resignation, or relief. a shaft sunk into the ground to obtain water, oil, or gas.. a plentiful source or supply. an enclosed space in the middle of a building, giving room for stairs or a lift, or to allow light or ventilation.. a shelf beneath the counter of a bar on which bottles of alcohol are stored within easy reach of the person serving. a region of minimum potential. (of a liquid) rise up to the surface and spill or be about to spill"
   only,and no one or nothing more besides; solely. no longer ago than. with the negative or unfortunate result that. alone of its or their kind; single or solitary. except that; but
   those,plural form of that
   tell,"communicate information to someone in spoken or written words. decide or determine correctly or with certainty. (of an experience or period of time) have a noticeable, typically harmful, effect on someone. count (the members of a group). (especially in poker) an unconscious action that is thought to betray an attempted deception.. (in the Middle East) an artificial mound formed by the accumulated remains of ancient settlements."
   one,"the lowest cardinal number; half of two; 1. the same; identical. a joke or story. an alcoholic drink. alone. referring to a person or thing previously mentioned or easily identified. a person of a specified kind. used to refer to the speaker, or any person, as representing people in general"
   very,in a high degree. actual; precise (used to emphasize the exact identity of someone or something). emphasizing an extreme point in time or space. with no addition of anything else; mere
   her,used as the object of a verb or preposition to refer to a female person or animal previously mentioned or easily identified. herself. belonging to or associated with a female person or animal previously mentioned or easily identified. used in titles
   even,"flat and smooth. equal in number, amount, or value. (of a number, such as 2, 6, or 108) divisible by two without a remainder. make or become even. used to emphasize something surprising or extreme. the end of the day; evening. a member of an indigenous people living in the Kamchatka peninsula of eastern Siberia.. the language of the Even, a Tungusic language with about 6,000 speakers, closely related to Evenki.. relating to the Even or their language."
   back,"the rear surface of the human body from the shoulders to the hips. the side or part of something that is away from the spectator or from the direction in which it moves or faces; the rear. a player in a team game who plays in a defensive position behind the forwards. the grounds of Cambridge colleges which back on to the River Cam.. in the opposite direction from the one that one is facing or travelling towards. so as to return to an earlier or normal position or condition. in or into the past. in return. give financial, material, or moral support to. cover the back of (an article) in order to support, protect, or decorate it. walk or drive backwards. (of a building or other structure) have its back facing or adjacent to. of or at the back of something. from or relating to the past. directed towards the rear or in a reversed course. (of a sound) articulated at the back of the mouth"
   any,"used to refer to one or some of a thing or number of things, no matter how much or how many. whichever of a specified class might be chosen. at all; in some degree (used for emphasis)"
   good,to be desired or approved of. having the required qualities; of a high standard. possessing or displaying moral virtue. giving pleasure; enjoyable or satisfying. thorough. valid. used in conjunction with the name of God or a related expression as an exclamation of extreme surprise or anger. that which is morally right; righteousness. benefit or advantage to someone or something. well
   woman,an adult human female
   through,"moving in one side and out of the other side of (an opening, channel, or location). continuing in time towards completion of (a process or period). so as to inspect all or part of (a collection, inventory, or publication). up to and including (a particular point in an ordered sequence). by means of (a process or intermediate stage). so as to be connected by telephone. (with reference to public transport) continuing or valid to the final destination. (of a room) running the whole length of a building.. (of a team or competitor) having successfully passed to the next stage of a competition. having no prospect of any future relationship, dealings, or success"
   us,used by a speaker to refer to himself or herself and one or more other people as the object of a verb or preposition. me. United States.. undersecretary.. unserviceable; useless.
   life,"the condition that distinguishes animals and plants from inorganic matter, including the capacity for growth, reproduction, functional activity, and continual change preceding death. the existence of an individual human being or animal. the period between the birth and death of a living thing, especially a human being. vitality, vigour, or energy. (in art) the depiction of a subject from a real model, rather than from an artist's imagination"
   child,a young human being below the age of puberty or below the legal age of majority
   there,"in, at, or to that place or position. used in attracting someone's attention or calling attention to someone or something. used to indicate the fact or existence of something. used to focus attention on something. used to comfort someone"
   work,"activity involving mental or physical effort done in order to achieve a purpose or result. a task or tasks to be undertaken. a thing or things done or made; the result of an action. a place or premises in which industrial or manufacturing processes are carried out. the operative part of a clock or other machine. a defensive structure. the exertion of force overcoming resistance or producing molecular change.. everything needed, desired, or expected. be engaged in physical or mental activity in order to achieve a result; do work. (of a machine or system) function, especially properly or effectively. (of a plan or method) have the desired result or effect. bring (a material or mixture) to a desired shape or consistency by hammering, kneading, etc.. move or cause to move gradually or with difficulty into another position. bring into a specified emotional state"
