text,tag,name
"From June 11 to August 16 , 1993 , during a period of unusual high heat , 42 women with singleton pregnancies between 27 and 40 weeks ' gestation undergoing serial antenatal testing had AFI determinations recorded at least weekly .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
The daily high ambient temperature in our urban area was subsequently obtained .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"A 2- , 3- , and 4-day mean temperature prior to the test date was compared to AFI using a Spearman-rank Correlation .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
The daily high temperature ranged from 71 to 104 degrees F and AFI values ranged from 1.7 to 24.7 cm during the study period .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"There was a significant correlation between the 2- , 3- , and 4-day mean temperature and AFI , with the 4-day mean being the most significant ( r = 0.31 , p & # 60 ; 0.001 ) .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
Fluctuations in ambient temperature are inversely correlated to changes in AFI .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
This relationship should be taken into account when interpreting the AFI as a measure of fetal well-being .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"This study tested the hypothesis that to reduce the rate of macrosomic infants in gestational diabetes cases , good glycemic control should be initiated before 34 completed gestational weeks .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"The 60 women ( 71 % ) , who initiated treatment before 34 completed weeks , composed the `` early '' group .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"The 24 women ( 29 % ) , who initiated treatment after the 34th week , composed the `` late '' group .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"In the `` early '' and `` late '' groups , mean gestational age at the beginning of treatment was 30.0 +/- 3.8 and 36.2 +/- 1.2 weeks , and duration of treatment was 9.6 +/- 4.1 and 3.7 +/- 1.8 weeks , respectively .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
Maternal characteristics were similar in the two groups .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"The rate of macrosomic and large-for-gestational-age infants were 5 and 11 % , respectively , in the early group as compared to 25 and 29 % in the `` late '' group ( p & # 60 ; 0.05 ) .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
No significant differences were found between the two groups in the mode of delivery or Apgar scores .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
Our aim was to investigate the contribution of certain antenatally detectable markers leading to the diagnosis of trisomic fetuses we observed over a period of 6 years .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"The most common indication leading to diagnosis was abnormal ultrasound finding ( 48.2 % ) , followed by advanced maternal age ( 44.4 % ) .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"However , 63 % of the trisomic fetuses belonged to mothers aged 35 years and above .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
Fifty-three triplet pregnancies between 1986 and 1993 at The New York Hospital-Cornell Medical Center were reviewed .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"These were matched for maternal age , parity , and race to twin gestations ( N = 53 ) from the same population .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"Student 's t-test , Fisher exact test , and Chi-square were used for statistical analysis .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
This information may be useful in counseling patients with high order multifetal gestations .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
We conducted a survey and audit of thermal equipment use in very low-birth-weight infants in five Ohio neonatal intensive care units ( NICUs ) to document regional practice .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
The survey indicated a variety of thermal care styles .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"Two NICUs preferred to admit infants to incubators , the other three favoring radiant warmers .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
These three NICUs moved infants from radiant warmers into incubators at significantly different mean ages .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"The audit demonstrated inconsistent use of plastic covers , warming mattresses , and added humidity under radiant warmers , and discrepancies between survey responses and actual use within NICUs .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
Inter-NICU variability of thermal equipment use may complicate fluid management .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
Fetal movements were decreased 48 hr prior to delivery .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"On the day of delivery , they were absent .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
The nonstress test was abnormal with low biophysical profile and decreased beat-to-beat variability .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"The initial hemoglobin was 2.2 g/dL , the Kleihauer-Betke stain was 27.6 % ( highest level ever reported ) .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
Right temporal and cerebellar hemorrhages were present .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"Careful inspection of the delivered placenta revealed that there was a yellowish lesion of fibrin deposits below the cord insertion site , which resulted from the absorption of hematoma .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
OBJECTIVE : To identify additional genetic risk factors for late-onset AD .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
DESIGN : A complete genomic screen was performed ( N=280 markers ) .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"Critical values for chromosomal regional follow-up were a P value of .05 or less for affected relative pair analysis or sibpair analysis , a parametric lod score of 1.0 or greater , or both .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
Regional follow-up included analysis of additional markers and a second data set .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
SETTING : Clinic populations in the continental United States .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"PATIENTS : > From a series of multiplex families affected with late-onset ( > or =60 years ) AD ascertained during the last 14 years ( National Insititute of Neurological Disorders and Stroke-Alzheimer 's Disease and Related Disorders Association diagnostic criteria ) and for which DNA has been obtained , a subset of 16 families ( 135 total family members , 52 of whom were patients with AD ) was used for the genomic screen .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"A second subset of 38 families ( 216 total family members , 89 of whom were patients with AD ) was used for the follow-up analysis .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
MAIN OUTCOME MEASURES : Linkage analysis results generated using both genetic model-dependent ( lod score ) and model-independent methods .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
RESULTS : Fifteen chromosomal regions warranted initial follow-up .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"Follow-up analyses revealed 4 regions of continued interest on chromosomes 4 , 6 , 12 , and 20 , with the strongest results observed forchromosome 12 .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"Peak 2-point affecteds-only lod scores ( n=54 ) were 1.3 , 1.6 , 2.7 , and 2.2 and affected relative pairs P values ( n=54 ) were .04 , .03 , .14 , and .04 for D12S373 , D12S1057 , D12S1042 , and D12S390 , respectively .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"Sibpair analysis ( n=54 ) resulted in maximum lod scores ( MLSs ) of 1.5 , 2.6 , 3.2 , and 2.3 for these markers , with a peak multipoint MLS of 3.5 .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
A priori stratification by APOE genotype identified 27 families that had at least 1 member with AD whose genotype did not contain an APOE*4 allele .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"Analysis of these 27 families resulted in MLSs of 1.0 , 2.4 , 3.7 , and 3.3 and a peak multipoint MLS of 3.9 .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
CONCLUSIONS : A complete genomic screen in families affected with late-onset AD identified 4 regions of interest after follow-up .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"Chromosome 12 gave the strongest and most consistent results with a peak multipoint MLS of 3.5 , suggesting that this region contains a new susceptibility gene for AD .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"Additional analyses are necessary to identify the chromosome 12 susceptibility gene for AD and to follow up the regions of interest on chromosomes 4 , 6 , and 20 .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"However , knowledge regarding all possible mutations and the relationship between risk factors and mutations is incomplete .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"DESIGN : A complete sequence analysis of the BRCA1 coding sequence and flanking intronic regions was performed in 798 women in a collaborative effort involving institutions from the United States , Italy , Germany , Finland , and Switzerland .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
No participant was from a family in which genetic markers showed linkage to the BRCA1 locus .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
MAJOR OUTCOME MEASURES : Sequence variants detected in this sample are presented along with analyses designed to determine predictive characteristics of those testing positive for BRCA1 mutations .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"RESULTS : In 102 women ( 12.8 % ) , clearly deleterious mutations were detected .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"Fifty new genetic alterations were found including 24 deleterious mutations , 24 variants of unknown significance , and 2 rare polymorphisms .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"In a subset of 71 Ashkenazi Jewish women , only 2 distinct deleterious mutations were found : 185delAG in 17 cases and 5382insC in 7 cases .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
A bias in prior reports for mutations in exon 11 was revealed .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"CONCLUSIONS : Using logistic regression analysis , we provide a method for evaluating the probability of a woman 's carrying a deleterious BRCA1 mutation for a wide range of cases , which can be an important tool for clinicians as they incorporate genetic susceptibility testing into their medical practice .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
OBJECTIVE : To investigate phenotypic characteristics of families potentially linked to the hereditary prostate cancer 1 ( HPC1 ) locus on chromosome 1q24-25 .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
DESIGN : Retrospective case study in which clinical data were extracted from medical and pathological records .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
Prostate cancer cases from the National Cancer Data Base were used as a reference population for comparison .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"In the other clinical parameters , we found no significant differences between the groups .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"However , except for genes in the HLA system , specific susceptibility loci are unknown or unconfirmed .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"The 3 regions include HLA on chromosome 6p21.3 , APOE on chromosome 19ql 3.2 , and MBP ( myelin basic protein ) on chromosome 18q23 .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
DESIGN : Case-control association testing .,"['O', 'O', 'O', 'O', 'O', 'O']",NONE
"SUBJECTS : A total of 120 Caucasian patients with MS and 107 unrelated control individuals from California , and 32 patients and 32 unrelated control individuals from Beijing , China .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
All patients with MS were diagnosed as having clinically definite disease according to published criteria .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
MAIN OUTCOME MEASURES : Chi2 Testing of loci and individual alleles and haplotypes .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
Haplotype frequencies were estimated with standard maximum likelihood methods .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"RESULTS : The HLA effect is due to the class II DR2 haplotype , DRB1*1501-DQA1*0102-DRB1*0602 ; contributions to MS susceptibility from additional DRB1-DQB1 alleles or other HLA region loci were not observed .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
Variation within the MBP locus on chromosome 18q23 showed no effect in MS .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"The distribution of haplotypes from 5 loci within the chromosome 19q13.2 region , including D19S178 , D19S574 , APOE , APOC2 , and D19S219 , differed between patient and control samples .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
D19S574 showed a significant effect ( P=.015 ) in Caucasian patients with MS due to the increased frequency of a single allele ( P=.002 ) .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"The APOE variation , prominent in other neurological diseases , showed no influence on MS susceptibility , despite its location within the chromosome 19q13.2 region .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
Interaction effects between DR2 and chromosome 19q13.2 or MBP in MS susceptibility were not apparent .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
CONCLUSIONS : The significant chromosome 19q13.2 single-locus and multilocus haplotype associations with MS in Caucasian and Chinese patient samples indicate an effect from a nearby disease susceptibility locus .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
These initial observations are an encouraging step toward the description of non-HLA genetic susceptibility to MS .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"DESIGN : Cohort incidence study of patients with retinoblastoma followed for a median of 20 years , and nested case-control study of a radiation dose-response relationship for bone and soft tissue sarcomas .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"A radiation risk for all sarcomas combined was evident at doses above 5 Gy , rising to 10.7-fold at doses of 60 Gy or greater ( P & # 60 ; .05 ) .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"A radiation dose-response relationship is demonstrated for all sarcomas and , for the first time in humans , for soft tissue sarcomas .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
The urine screen did not influence management decisions .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
"All women were expectantly managed without tocolytics until 37 weeks ' gestation unless they developed clinical chorioamnionitis , or nonreassuring fetal heart rate tracing or biophysical profile .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",NONE
